isbn13,Stock,Price,Discount,VendorId,dist_id,Publisher,Weight
9781474206846,0,17075.3,42.5,NA,22,BLOOMSBURY ACADEMIC,0.0
9789357483346,100,299.0,50.0,NA,304,Double 9 Publisher,0.0
9789358018462,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9789361427022,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789383096312,5,5000.0,50.0,NA,393,HORIZON PRESS,0.0
9780861340880,1,3592.18,45.0,NA,245,ARTISTS HOUSE,0.0
9789358010855,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9789361424076,100,225.0,50.0,NA,304,Double 9 Publisher,0.0
9789358016727,100,299.0,50.0,NA,304,Double 9 Publisher,0.0
9789361420436,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9780008190408,10,395.0,50.0,NA,398,,0.0
9789364288804,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789365785067,100,299.0,40.0,NA,304,Double 9 Publisher,0.0
9789358011388,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9789357483322,100,299.0,50.0,NA,304,Double 9 Publisher,0.0
9789358017342,100,525.0,50.0,NA,304,Double 9 Publisher,0.0
9789358711516,100,199.0,50.0,NA,304,Double 9 Publisher,0.0
9789361427213,100,249.0,40.0,NA,304,Double 9 Publisher,0.0
9789361427541,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9789364286398,100,425.0,50.0,NA,304,Double 9 Publisher,0.0
9789364288521,100,275.0,50.0,NA,304,Double 9 Publisher,0.0
9789357485166,100,449.0,50.0,NA,304,Double 9 Publisher,0.0
9789358010282,100,375.0,50.0,NA,304,Double 9 Publisher,0.0
9789358018134,100,225.0,50.0,NA,304,Double 9 Publisher,0.0
9789361420351,100,225.0,40.0,NA,304,Double 9 Publisher,0.0
9789361426094,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789364289931,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9781851521180,1,1257.94,45.0,NA,245,"CHANCELLOR PRESS, LONDON",0.0
9789357489829,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789358016833,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789358019223,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9789361423802,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9789364287807,100,275.0,50.0,NA,304,Double 9 Publisher,0.0
9789357483216,100,199.0,50.0,NA,304,Double 9 Publisher,0.0
9789361426292,100,199.0,40.0,NA,304,Double 9 Publisher,0.0
9789364288330,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789361427039,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9789364283618,100,299.0,40.0,NA,304,Double 9 Publisher,0.0
9789380179889,5,1275.0,50.0,NA,393,OXFORD BOOK CO.,0.0
9781911751212,200,899.0,40.0,NA,46,PRH,0.0
9789357483278,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9789358017113,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9789360462192,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789364287562,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789355290915,5,1600.0,50.0,NA,392,,0.0
9789380833453,5,895.0,50.0,NA,408,,0.0
9789357480352,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789360462277,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789364281652,100,725.0,50.0,NA,304,Double 9 Publisher,0.0
9780323897303,15,6203.37,50.0,NA,389,,0.0
9789357484510,100,275.0,50.0,NA,304,Double 9 Publisher,0.0
9789364281430,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789364286350,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789355290502,5,800.0,50.0,NA,392,,0.0
9789357485111,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9789361429941,100,299.0,50.0,NA,304,Double 9 Publisher,0.0
9789364281591,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789364288569,100,225.0,40.0,NA,304,Double 9 Publisher,0.0
9789364289528,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9788182529557,100,499.0,50.0,NA,414,WILCO,0.0
